,location_key,longitude,latitude,nearest_intersection,floor_level,postal_code,dissemination_area
5163,75656047,-79.604769171,43.756551504,Provence Trl / Moselle Dr,1,M9V 4B5,35203042
5169,65814624,-79.462495996,43.658151975,Glenlake Ave / Mountview Ave / Lithuania Park Trl,999,M6P 2L5,35204015
5170,67473966,-79.396605801,43.674724924,Avenue Rd / Davenport Rd,1,M5R 2H6,35204091
5171,74005182,-79.518268752,43.740052209,Clair Rd / Mayberry Rd,1,M3N 1C2,35202072
5172,68793508,-79.350872223,43.687969853,Gowan Ave / Carlaw Ave,001,M4K 2E4,35203858
5173,69844384,-79.438411083,43.69848923399999,Tony Grande Lane / Fairleigh Cres,999,M6C 2E5,35202310
5177,66304209,-79.420914943,43.663025483,Bloor St W / Montrose Ave / Christie Pits Park Trl,1,M6G 1L3,35201024
5178,69014750,-79.475062683,43.690165352,Trethewey Dr / Keele St / Eglinton Ave W,1,M6M 1T9,35201213
5181,77644061,-79.406191452,43.776409894,Charlemagne Dr / Annapearl Crt,001,M2N 5B2,35204323
5182,78964140,-79.41401389100001,43.789612037,Wedgewood Dr / Tobruk Cres,1,M2N 2B3,35204926
5183,77591527,-79.152761071,43.775969221,Lawrence Ave E / Paulander Ave / Goldberry Sq,1,M1C 1W7,35203678
5186,68543140,-79.314086825,43.685404787,Danforth Ave / Moberly Ave,002,M4C 3X4,35204482
5187,70813222,-79.32228333,43.708106825,Woodbine Heights Blvd / Parkview Hill Cres,B01,M4B 0A2,35204360
5191,66283797,-79.379755504,43.66282596600001,Wood St / Church St,003,M4Y 1B7,35204584
5192,74052357,-79.235727583,43.740593119,Torrance Rd / 175 Trudelle St,1,M1J 2M7,35203294
5197,71192485,-79.248513685,43.71194247,Midland Ave / Park St,002,M1N 4A7,35203270
5198,72503070,-79.307014052,43.72505896,Eglinton Ave E / Jonesville Cres,1,M4A 1J8,35202722
5199,72212980,-79.298031055,43.72214077,Coniston Rd / Harris Park Dr,1,M1L 2K1,35200475
5205,80241723,-79.172376547,43.802443092,Dean Park Rd / Red River Cres,1,M1B 2X3,35203955
5209,76283841,-79.38414014600001,43.762803031,Northdale Rd / Gerald St,1,M2K 1G4,35203976
5212,65533739,-79.37391703,43.655361788,Jarvis St / Shuter St,1,M5B 0B8,35204615
5214,68414517,-79.451705492,43.684184561,Rogers Rd / Nairn Ave,1,M6E 3R4,35201127
5215,75932320,-79.23202121199999,43.759316448,Sedgemount Dr / Greenbrae Crct,001,M1H 1S2,35204299
5217,69063426,-79.342671041,43.69061962,Gowan Ave / Cosburn Ave,1,M4J 2P4,35203866
5219,69253097,-79.309777287,43.692531034,Westbrook Ave / Oak Park Ave,1,M4C 5K6,35200603
5221,65433965,-79.396565654,43.654315799,Huron St / D'Arcy St,002,M5T 2E7,35200890
5224,81032384,-79.238492573,43.810397633,Melford Dr / Melham Crt,001,M1B 2W4,35204743
5226,68904605,-79.46055050300001,43.689000631000006,Caledonia Rd / Kitchener Ave,1,M6E 4T5,35204553
5227,81203210,-79.321038098,43.812073975,Fundy Bay Blvd / Lucania Pl,1,M1W 3G1,35203929
5229,64773694,-79.369449156,43.647764478,Albert Franck Pl / Henry Lane Ter / George St S,1,M5A 4A5,35200827
5231,73713434,-79.343448292,43.737173348,Don Mills Rd / Lawrence Ave E,001,M3C 0E5,35202702
5236,68514899,-79.489977028,43.685193311000006,Guestville Ave / York Ave,1,M6N 2T7,35204450
5238,66594074,-79.407473106,43.665914587,Bloor St W / Brunswick Ave,003,M5S 1Y2,35201029
5242,62835022,-79.502210731,43.628348176,Rosemeade Ave / Tenby St,1,M8Y 4G5,35201523
5244,66193670,-79.367035536,43.661950371,Gerrard St E / Parliament St,002,M5A 3A3,35200797
5248,64883920,-79.392087992,43.648851371000006,Richmond St W / Widmer St,1,M5V 3M6,35204842
5250,67033306,-79.330692567,43.670319389,Gerrard St E / Alton Ave,1,M4M 2A1,35200696
5251,79862968,-79.296807075,43.798676258,Lovering Rd / Grove Hill Dr,1,M1T 3C6,35200147
5253,67864397,-79.439754852,43.678692,St Clair Ave W / Lauder Ave,1,M6E 1A3,35201114
5257,67355493,-79.549318105,43.67359157600001,Kipling Ave / Longfield Rd / The Kingsway,1,M9B 2Y7,35203008
5258,71305462,-79.546280024,43.713022768,Allenby Ave / Hatfield Cres,1,M9W 1V4,35204939
5260,67593180,-79.318099347,43.67593049,Gerrard St E / Wembley Dr,006,M4L 3C6,35200683
5262,77172321,-79.232186806,43.77175653,Dolly Varden Blvd / Bluefin Cres,B01,M1H 2J4,35203373
5264,70842758,-79.27583665899999,43.708436216,Santamonica Blvd / Newlands Ave,001,M1L 4H4,35203503
5266,73454472,-79.447277074,43.734584855,Wilson Ave / Tippett Rd / Wilson Heights Blvd,003,M3K 2C8,35202152
5267,64706045,-79.604517644,43.647096648,Lone Oak Crt / Rakely Crt,1,L4W 0E4,35212021
5271,64733861,-79.386110583,43.647395085,King St W / Simcoe St,B01,M5J 1V6,35200855
5272,75545927,-79.592729419,43.755423681,Haimer Ave / Wray Crt,1,M9V 3Z5,35203031
5275,71034719,-79.471909067,43.710302504,Lawrence Ave W / Benton Rd,1,M6M 2V6,35204460
5277,64984003,-79.400370553,43.649814847,Augusta Ave / Paul Lane Gdns / Randy Padmore Park Trl,1,M5T 2V5,35200888
5279,70353284,-79.328466743,43.703568172,Faircrest Crcl / Parkview Hill Cres,1,M4C 2Z7,35200523
5280,67834164,-79.416438561,43.678332893,Bathurst St / Austin Ter,1,M5R 3E6,35201079
5283,72122999,-79.299951158,43.721299661,Sundridge Dr / Engelhart Cres,1,M1L 2K1,35200475
5284,77584282,-79.428235803,43.775862676,Bevdale Rd / Yorkview Dr,001,M2N 2J2,35202583
5286,72324597,-79.45973969399999,43.723253366,Jane Osler Blvd / Cartwright Ave,1,M6A 1L6,35202140
5288,77125225,-79.522524612,43.771242373,Gosford Blvd / Blacksmith Cres,1,M3N 1V5,35202059
5289,77922954,-79.295451758,43.779272233,Cass Ave / Neddie Dr,001,M1T 2T6,35200233
5290,67883268,-79.326820035,43.678865016,Felstead Ave / Gillard Ave / Monarch Park Trl,B01,M4J 1G3,35203878
5292,73303467,-79.346725698,43.733013808,Clock Tower Rd / Overland Dr / The Donway W,999,M3C 2C4,35202702
5293,75093010,-79.30107372100001,43.750941576,Bucannan Rd / Tower Dr,1,M1R 3V3,35203571
5294,70074517,-79.451767667,43.7007564,Dufferin St / Castlefield Ave,1,M6B 4J3,35202218
5295,68422900,-79.29002387,43.684238719,Swanwick Ave / Lawlor Ave,002,M4E 3M8,35200650
5297,67392812,-79.28121634899999,43.673954651,Nursewood Rd / Queen St E,1,M4E 1H9,35203239
5298,74885631,-79.563192049,43.748867585,Pearldale Ave / Hasbrooke Dr,006,M9L 2G9,35201874
5300,76391886,-79.188609394,43.76396898,Kitchener Rd / Danzig St,1,M1E 2N3,35204287
5302,80702628,-79.262843172,43.807000672,Placentia Blvd / Sandhurst Crcl / Tooklea Cres,002,M1S 3Y7,35204741
5303,70793110,-79.311017029,43.707904549,O'Connor Dr / Curity Ave,001,M4B 3M3,35200529
5304,63065738,-79.573821865,43.630628866,Conifer Dr / Markwood Cres,001,M9C 2A2,35201611
5310,71042884,-79.2884945,43.710401643,St Clair Ave E / Presley Ave,1,M1L 3H1,35200491
5311,65944376,-79.437607882,43.659426434,Bloor St W / Pauline Ave,1,M6H 3M8,35201004
5312,81081831,-79.183171514,43.810823383,Muskox Dr / Jaguar St,B01,M1B 6K4,35204725
5315,71764972,-79.497226619,43.717631446000006,Falstaff Ave / Frankfort Ave,1,M6L 2E5,35201952
5316,74654318,-79.431816368,43.746503244,Romney Rd / York Downs Dr,1,M3H 1N1,35202402
5317,73142712,-79.27121015899999,43.731434103000005,Eglinton Ave E / Ionview Rd,004,M1K 2N2,35204772
5319,64675758,-79.575879348,43.646740288,Endwood Rd / Carsbrooke Rd,1,M9C 3G6,35201631
5320,78784136,-79.413635908,43.787842219,Cummer Ave / Silverview Dr,001,M2N 2B3,35204926
5321,75366090,-79.609071174,43.753681027,Leading Rd / Guided Crt,001,M9V 4B5,35203042
5322,64954298,-79.429829017,43.649584557,Gladstone Ave / Dundas St W,999,M6J 1Y6,35200932
5323,75392659,-79.265904631,43.753935756,Midland Ave / Midwest Rd,1,M1P 2S1,35203404
5325,80871815,-79.181532652,43.808722305,Reindeer Dr / Rouge River Dr,1,M1B 6K4,35204725
5327,65894285,-79.42856107899999,43.658965521000006,Dovercourt Rd / Hepbourne St,002,M6H 1J6,35203838
5328,71774865,-79.486562385,43.717745656000005,Grovedale Ave / Bannerman St,1,M6L 2S5,35204393
5334,73382770,-79.277015009,43.733884915,Reno Dr / Hughey Cres,001,M1K 1S4,35203532
5336,67073762,-79.376247105,43.67079284,Sherbourne St / Linden St / St. James Town West Park Trl,1,M4Y 1V5,35200757
5338,80083563,-79.356339428,43.800859507,Bradenton Dr / Wellesbourne Cres,B01,M2H 2C6,35202466
5340,72165046,-79.504635827,43.721600228,Wilson Ave / Springview Ave,996,M3M 1V1,35201964
5341,70822484,-79.248404239,43.708287448,Leisure Lane / Sandown Ave,003,M1N 4E6,35203793
5342,75745437,-79.54376231,43.757466276,Weston Rd / Fenmar Dr,999,M9M 2C7,35201890
5343,71283506,-79.35064929100001,43.71285552,Wicksteed Ave / Leslie St,1,M4G 0B7,35204793
5348,63395755,-79.575563965,43.633977373,Mapledawn Rd / Boxbury Rd,1,M9C 2A2,35201611
5349,70012727,-79.27272611,43.700180384,Danforth Rd / Mack Ave,001,M1L 3W5,35203509
5350,65173824,-79.382424745,43.651760964,Queen St W / Bay St,001,M5H 1W2,35200855
5351,72324486,-79.448652724,43.723283057,Flemington Rd / Ranee Ave,1,M6A 2T3,35202140
5352,68104288,-79.42887061,43.681048902,St Clair Ave W / Arlington Ave,1,M6C 1B7,35201110
5353,65533657,-79.365756084,43.655340183,Queen St E / Berkeley St,002,M5A 2X1,35203176
5358,74964875,-79.48759218800001,43.749607205,Keele St / Dovehouse Ave / Downsview Park Trl,1,M3J 1P5,35205017
5359,72872282,-79.228255926,43.72875708,Kingston Rd / McNab Blvd,B01,M1M 1P2,35203787
5360,66954663,-79.466320537,43.669538596,Keele St / Hirons St,001,M6N 3E2,35201381
5362,76034673,-79.46734333399999,43.760323536,Lodestar Rd / Steeprock Dr,001,M3J 0G9,35202098
5363,74835684,-79.568400312,43.748380297,Islington Ave / Aviemore Dr,1,M9L 2G9,35201874
5367,68155398,-79.539842337,43.681582827,Islington Ave / La Rose Ave,1,M9P 3N3,35201806
5369,79023541,-79.354159109,43.790273982,Don Mills Rd / Seneca Hill Dr,002,M2J 3C2,35200302
5372,72804666,-79.466686869,43.728050752,Westdale Dr / Northgate Dr,1,M3K 1S6,35202162
5373,73885615,-79.561576914,43.738830164,Barkwin Dr / Batawa Cres,1,M9V 2X6,35204378
5374,72102998,-79.299868516,43.721054821,Southmead Rd / Engelhart Cres,1,M4A 2M2,35204054
5377,77834172,-79.417295727,43.778399591,Lorraine Dr / Tolman St,1,M2N 7H2,35204885
5378,75245168,-79.516899088,43.752415003,Reed Grassway / Cane Grassway,1,M3N 1K9,35204107
5381,60175097,-79.509799277,43.601720803,Etta Wylie Rd / Elsinore Path / Bradham Path,1,M8V 3Z2,35204699
5383,75164567,-79.45675118300001,43.751663147,Sheppard Ave W / Wilson Heights Blvd,996,M3H 2T7,35202159
5384,75852812,-79.281272398,43.758529453,Wye Valley Rd / Shropshire Dr,B01,M1P 1M2,35203544
5386,81073521,-79.352155938,43.810780588,Hollyberry Trl / Ebonywood Gt,1,M2H 3H6,35202476
5387,64954267,-79.426795521,43.649501561,Rusholme Rd / Lisgar St / Dundas St W,001,M6J 1Y5,35201418
5389,71532499,-79.249939215,43.715346236,Midland Ave / Wilkie Ave,1,M1N 4A7,35203270
5391,75835805,-79.580556536,43.758399156,Hillside Rd / Riverside Dr,1,M9L 1G9,35201880
5394,80091505,-79.150596654,43.800914178,Durnford Rd / Sheppard Ave E / Atrium Lane,1,M1B 4X3,35203715
5396,72074562,-79.45620689100001,43.720725511000005,Dufferin St / Sparrow Ave,002,M6A 2T3,35202140
5398,64753854,-79.38546145699999,43.647521435,King St W / Emily St,1,M5J 1V6,35200855
5402,75095858,-79.58582827,43.750976173000005,Kipling Ave / Rowntree Rd / Annabelle Dr,1,M9V 5C7,35204124
5403,79602923,-79.292362486,43.796057945,Buena Vista Ave / Southlawn Dr,001,M1S 1J1,35200210
5404,75495209,-79.520946452,43.754912289,Picaro Dr / Blaney Cres,001,M3N 1K8,35202037
5405,68694287,-79.42878255800001,43.686918377,Valewood Ave / Cherrywood Ave,1,M6C 2X4,35204538
5416,68793225,-79.32253402,43.687934421,Springdale Blvd / Woodington Ave,001,M4C 1V3,35204485
5417,66215852,-79.585200073,43.662193223,Hellensfield Cres / Elmbrook Cres / Bigham Cres,1,M9C 3Z7,35201753
5420,68722716,-79.27169579,43.687238519,Kingston Rd / Haig Ave,1,M1L 1E3,35203509
5422,66554821,-79.48210574699999,43.665579272,Dundas St W / Runnymede Rd,1,M6S 3A3,35201285
5425,63594042,-79.404290459,43.635944919,Gzowski Blvd / Fleet St,1,M5V 1A4,35203157
5426,73525981,-79.598185138,43.735271063,Finch Ave W / Kiskadee Dr / Damascus Dr,1,M9V 3L5,35203054
5427,73692972,-79.29723020899999,43.736946648,Tedford Dr / Clearfield Gt,1,M1R 1Y1,35200437
5428,65635188,-79.51887336600001,43.656326167,Old Oak Rd / Cedarcrest Dr,999,M8X 2A3,35201502
5429,69552574,-79.257491485,43.695525663000005,Lakehurst Dr / Lakehurst Cres,1,M1N 2G2,35203257
5430,78743377,-79.337778066,43.787432882,Van Horne Ave / Lucifer Dr / Van Horne Park Trl,1,M2J 3Y8,35204030
5436,67013244,-79.32448492600001,43.670152639,Highfield Rd / Hertle Ave,997,M4L 1Y9,35200691
5437,67643089,-79.308961185,43.676460967,Woodbine Ave / Eastwood Rd / Corley Ave,1,M4L 1T9,35203891
5440,76131780,-79.17806541600001,43.761383738,Dalcourt Dr / Shoreview Dr,001,M1E 2J3,35203668
5441,69443192,-79.319272876,43.694484926,Holborne Ave / Woodmount Ave,1,M4C 4J2,35200516
5445,66394185,-79.41857492300001,43.663947599,Christie St / Ln N Bloor E Christie,1,M6E 4A1,35201133
5446,77974155,-79.415577699,43.779769082,Finch Ave E / Yonge St / Finch Ave W,1,M2N 5S2,35204885
5447,80122965,-79.29659876699999,43.80126823,Kennedy Rd / Finch Ave E,1,M1V 1S9,35200094
5449,63034998,-79.499897245,43.630328596000005,Moynes Ave / Delroy Dr,1,M8Y 3C7,35203138
5450,64314023,-79.402396713,43.643194069,Bathurst St / Stewart St,007,M5V 2P6,35204894
5451,70254440,-79.444009338,43.702513037,Castlefield Ave / Danesbury Ave,001,M6E 2N4,35202223
5452,69123956,-79.395602311,43.691276506,Lawton Blvd / Oriole Gdns,1,M4T 2S9,35204734
5455,77724270,-79.427062608,43.777207611,Finch Ave W / Routliffe Lane / Edithvale Dr,1,M2N 2J2,35202583
5456,73034114,-79.41144249,43.730326729,Greer Rd / St Germain Ave,1,M5M 1T2,35202369
5459,74213240,-79.324034759,43.742181717,Roanoke Rd / Marthclare Ave,1,M3A 1E9,35202742
5461,65233727,-79.372716063,43.652348594,Jarvis St / Lombard St,1,M5B 1Y6,35204615
5462,66483416,-79.341607452,43.664844257,Dundas St E / Carlaw Ave,1,M4M 3L1,35203190
5468,71385811,-79.581117615,43.713844916000006,Martin Grove Rd / Rexdale Blvd,1,M9W 1R9,35204479
5470,63834535,-79.45350517,43.638324135,Parkside Dr / Lake Shore Blvd W / Parkside Dr S Lakeshore Blvd E Ramp / Lakeshore E Parkside Ramp,1,M6S 5A3,35201466
5471,68093053,-79.30532888100001,43.680988697,Glenmount Park Rd / Beachview Cres,1,M4L 1V3,35200661
5473,68973974,-79.397488389,43.689700341000005,Bryce Ave / Heath St W,008,M4V 3B7,35204735
5475,63635802,-79.580278818,43.63635457,Mill Rd / Markland Dr,005,M9C 1Y5,35204098
5476,68673159,-79.315925189,43.686772612,Wolverleigh Blvd / Woodmount Ave,002,M4C 3X9,35204482
5478,79874045,-79.40455891100001,43.798761695,Maxome Ave / Arran Cres,1,M2M 2J1,35202508
5479,75773708,-79.370841842,43.757741868,Beaverhall Dr / Bobwhite Cres,996,M2L 2V2,35200384
5481,78472814,-79.281496766,43.784732449,Sheppard Ave E / Lamont Ave,001,M1S 1T3,35200220
5484,68374824,-79.482458543,43.683733963,Weston Rd / Jasper Ave,1,M6L 2H4,35202187
5485,68844255,-79.42558478800001,43.688410515,Vaughan Rd / Wychwood Ave / Connaught Crcl,004,M6C 2X4,35204538
5488,62204876,-79.487644924,43.622068383,Harbourview Cres / Bluewater Crt,001,M8V 1M6,35205068
5489,66354341,-79.43419779,43.663518086,Bartlett Ave / Shanly St,1,M6H 1L9,35201000
5490,76452117,-79.211720126,43.764501584,Mossbank Dr / Caddy Dr,B01,M1G 1R6,35203333
5492,72983110,-79.311060076,43.729890431,Elvaston Dr / Halkin Cres,998,M4A 2B1,35200454
5493,73782876,-79.287646692,43.737874503,Crockford Blvd / Minford Ave,1,M1L 2P6,35203532
5496,63904159,-79.415917275,43.639022154,Western Battery Rd / Lynn Williams St,020,M6K 3R9,35204870
5498,68384430,-79.44305498899999,43.683898958,Northcliffe Blvd / Rosecliffe Ave,1,M6E 3K4,35204522
5499,68724312,-79.431252862,43.687228942,Earlsdale Ave / Arlington Ave,1,M6C 1B7,35201110
5500,66753370,-79.337033142,43.667511142,Austin Ave / Marjory Ave,002,M4M 1Z3,35200703
5502,66074542,-79.454232231,43.660737013,Abbott Ave / Dundas St W,1,M6P 1W9,35201362
5503,74474864,-79.486452433,43.744777513,Keele St / Sheppard Ave W / Downsview Park Trl,1,M3M 2W9,35205017
5505,62225059,-79.505938307,43.622296091,Queen Elizabeth Blvd / Taymall Ave,1,M8Z 1N5,35201521
5506,71075119,-79.511967196,43.710703678,Queenslea Ave / Kames Ave,1,M5V 1M7,35204894
5509,59715217,-79.521725,43.59712760399999,Lake Shore Blvd W / Twenty Third St,001,M8W 1N2,35201569
5510,76182002,-79.200247405,43.761884604,Celeste Dr / Templeton Crt / Highland Creek Trl,1,M1E 1X2,35204291
5515,65384119,-79.411952797,43.653804418,Mansfield Ave / Manning Ave,B01,M6J 2L1,35201431
5517,64154073,-79.407347711,43.64159659,Walnut Ave / Wellington St W,001,M5V 1G4,35204142
5519,76821643,-79.164356696,43.768212462,Bennett Rd / Ravenview Dr,999,M1E 3Y3,35204771
5520,71525108,-79.510812085,43.715274518,Suntract Rd / Gordon Mackay Rd,1,M3L 1A2,35202090
5525,75764085,-79.40854822899999,43.757606526,Harrison Garden Blvd / Humberstone Dr / Avondale Park Trl,015,M2N 7G4,35204831
5527,65834315,-79.431571512,43.658341793000005,Hepbourne St / Havelock St,001,M6H 1M3,35201009
5529,68623375,-79.337569304,43.68626703899999,Sammon Ave / Wiley Ave,1,M4J 2A2,35200569
5530,64664065,-79.40657584600001,43.64668293,Queen St W / Palmerston Ave / Tecumseth St,1,M6J 1E4,35200887
5532,64983703,-79.37031555,43.649819095,Front St E / George St S / George St,1,M5A 4S5,35200826
5533,79312710,-79.271035866,43.793110256000006,Brimley Rd / Dennett Dr,001,M1S 1R6,35200218
5537,69263023,-79.302369515,43.692612785,Secord Ave / Barrington Ave,B01,M4C 4Y9,35200506
5538,75145529,-79.552983473,43.751439387,Milvan Dr / Penn Dr,1,M9L 1X9,35201890
5539,66373317,-79.331760473,43.663793859,Curzon St / Leslie Garden Lane,001,M4M 1L7,35203200
5541,72303396,-79.339613164,43.72302478899999,Don Mills Rd / Wynford Dr,1,M3C 1V4,35204856
5544,68534471,-79.447139197,43.685348422,Rogers Rd / Sellers Ave,1,M6E 3R4,35201127
5545,67174711,-79.471124017,43.671781455,St Clair Ave W / Old Stock Yards Rd / Gunns Rd,1,M6N 1L2,35201381
5548,66204458,-79.44585968300001,43.662064608,Wallace Ave / Ward St,1,M6H 1V4,35200965
5549,64455672,-79.567250192,43.644552949,Burnhamthorpe Rd / The West Mall / Burnhamthorpe 427 C S Ramp / 427 C S Burnhamthorpe W Ramp,1,M9C 5S3,35201744
5551,72305515,-79.55155200899999,43.723035019,Endicott Ave / Golfdown Dr,1,M9W 2H8,35201823
5552,72284436,-79.443616865,43.72283221399999,Varna Dr / Cather Cres,1,M6A 2N4,35202136
5557,79591434,-79.143497591,43.795926014,Island Rd / Port Union Rd / Port Union N 401 C E Ramp / 2a E Port Union S Ramp,1,M1C 2P5,35203739
5558,72364513,-79.451350121,43.72364951,Highland Hill / Alcester Crt,1,M6G 3A1,35201076
5560,78052470,-79.247027861,43.780538671,Lee Centre Dr / Corporate Dr,1,M1H 3H8,35203954
5561,66373847,-79.38475865,43.66377897899999,Breadalbane St / St Luke Lane,1,M4Y 1X9,35204592
5562,66413262,-79.326216145,43.66417392899999,Queen St E / Hiltz Ave,001,M4L 1C2,35203214
5563,66744041,-79.404186505,43.667464166,Spadina Rd / Annex Lane,1,M5R 2S9,35201034
5566,74274897,-79.489779545,43.742761845,Sunfield Rd / Dellview Way,001,M3M 2W9,35205017
5568,65994433,-79.443306675,43.659901895,Lansdowne Ave / Jenet Ave,001,M6H 1V4,35200965
5570,67323560,-79.356099292,43.673235915,Montcrest Blvd / Broadview Ave,1,M4K 2P6,35204559
5573,65873671,-79.367183108,43.658718753,Berkeley St / Coatsworth St,1,M5A 2A6,35200813
5579,78082445,-79.244553639,43.780877799,Toyota Pl / Corporate Dr,001,M1H 1H9,35204984
5582,67774557,-79.45579594,43.677779775,Caledonia Rd / Norman Ave,1,M6E 4T5,35204553
5584,64545636,-79.563629518,43.645467398,HWY 427 / Burnhamthorpe Rd / Burnhamthorpe 427 C S Ramp,1,M9B 6H7,35204252
5585,74733302,-79.330241138,43.747350741000005,Cassandra Blvd / Whitefriars Dr,1,M3A 1S5,35202753
5589,79222340,-79.234081894,43.792287713,Progress Ave / Rosebank Dr,B01,M1B 5Z6,35204227
5591,80153484,-79.348418067,43.801574753,McNicoll Ave / Hines Dr / Picola Crt,1,M2H 2C6,35202466
5592,67765645,-79.564592768,43.677641247,Martin Grove Rd / Redgrave Dr,1,M9R 3V7,35204162
5593,70863190,-79.319067635,43.708601338,Eden Park Rd / Glenshaw Cres,999,M4B 0A2,35204360
5595,69614235,-79.423577021,43.696108116000005,Bathurst St / Avenal Dr,1,M6C 2C2,35204169
5597,69962970,-79.297029659,43.699625095,Dawes Rd / Halsey Ave,006,M4B 2E6,35204369
5599,59945022,-79.502272053,43.599440497,Fifth St / Morrison St,1,M8V 2Z3,35201560
5600,70005629,-79.56298989,43.700011272,Shaft Rd / Ronson Dr,B01,M9W 1B3,35204479
5601,75633616,-79.361627822,43.75634470600001,Kirkwood Rd / Tullamore Dr,1,M3B 2M3,35200389
5602,67835849,-79.584970224,43.67834172,International Blvd / Galaxy Blvd,1,M9W 6J6,35204479
5603,62205426,-79.542675953,43.622017032,Atomic Ave / North Queen St,1,M8Z 5X2,35201663
5605,78882624,-79.26249084199999,43.788844534,Sheppard Ave E / Brownspring Rd,1,M1S 5H9,35203615
5606,65673595,-79.359584079,43.65670493,Queen St E / Bright St,001,M5A 3E5,35203176
5609,62525285,-79.52855205600001,43.625207502,Kipling Ave / North Queen St,1,M8Z 5G5,35201663
5611,74212826,-79.282656821,43.742158823,Birchmount Rd / Flora Dr,001,M1P 2E3,35203566
5612,65075407,-79.540772795,43.650705288000005,Burnhamthorpe Rd / Prennan Ave,001,M9B 4N3,35201649
5615,61415236,-79.523646249,43.614132045,Kipling Ave / Torlake Cres,001,M8Z 1K5,35204760
5620,72164931,-79.493178174,43.72167554399999,Ridge Rd / Downsview Ave,1,M3M 3C6,35201958
5622,66104600,-79.46003628,43.66106279899999,Kenneth Ave / Indian Road Cres,001,M6P 2G8,35201369
5624,76442553,-79.255369408,43.764499475,Neapolitan Dr / Jackmuir Cres,1,M1P 3Z1,35203385
5625,67203229,-79.32291486300001,43.67208101399999,Hiawatha Rd / Gerrard St E,1,M4L 2Y1,35200688
5627,68175886,-79.588663864,43.681772969,Galaxy Blvd / Meteor Dr,1,M9W 5E8,35204479
5628,79962064,-79.206404131,43.799622407,Murison Blvd / Breckon Gt / Usherwood Crt,001,M1B 2L6,35200034
5633,70404831,-79.483181042,43.704053915,George Anderson Dr / Garside Cres,1,M6M 2Y8,35204458
5634,66675768,-79.576890369,43.66676295600001,Hartland Rd / Wellesworth Dr,1,M9C 4R3,35201759
5635,77313105,-79.310541149,43.773108047,Castleford Dr / Vradenberg Dr,1,M1T 1M6,35203590
5645,77131899,-79.189902573,43.771386675,Falaise Rd / Rodda Blvd,1,M1E 2N7,35203661
5647,59115192,-79.519250849,43.591186154,Lake Promenade / Twenty Third St,1,M8W 3G7,35201575
5649,76351953,-79.195361685,43.763545965,Galloway Rd / Montoro Lane,1,M1E 1X2,35204291
5651,76573130,-79.313021819,43.76572095,Terraview Blvd / Pharmacy Ave,001,M1R 2L2,35203594
5652,65044506,-79.45065905199999,43.650450597,Neepawa Ave / Roncesvalles Ave / Marmaduke St,002,M6R 2N1,35201357
5653,81962210,-79.221072211,43.819698288000005,Staines Rd / Finch Ave E / Morningside Ave,1,M1X 1Y3,35204720
5655,75974996,-79.499658776,43.759748223,Sentinel Rd / Derrydown Rd,1,M3J 1T9,35202028
5657,74854994,-79.499433775,43.748514496000006,Ladyshot Cres / Eldorado Crt,1,M3J 1G6,35202025
5660,73465466,-79.546609234,43.734611324,Verobeach Blvd / West Palm Crt,1,M9V 1J5,35204375
5661,66864377,-79.43779285,43.668666884,Dupont St / Gladstone Ave,1,M6H 2A3,35200999
5662,70105121,-79.512124829,43.701091224,Lawrence Ave W / Ralph St,1,M9N 3V4,35204412
5663,65453848,-79.38486125899999,43.654547211,Foster Pl / Elizabeth St,1,M5G 1P7,35204616
5668,78153430,-79.343093716,43.781517972,Kingslake Rd / Lisburn Cres,1,M2J 3E8,35200301
5673,77623880,-79.38804943,43.776251855,Bomarc Rd / Wycliffe Cres,001,M2K 1W4,35200394
5674,79704164,-79.416401756,43.797006353,Abitibi Ave / Dumont St,1,M2M 3G1,35202496
5676,81892373,-79.237386711,43.818980004,Finchdene Sq / Newgale Gt,001,M1X 1C3,35204710
5677,67843473,-79.347345187,43.678460486000006,Danforth Ave / Carlaw Ave,002,M4K 1P6,35203818
5679,71084223,-79.422317355,43.710828716,Alexandra Wood / Cortleigh Blvd,1,M6B 3B1,35202322
5681,82042223,-79.222345659,43.820443968,Flycatcher Ave / Wharnsby Dr / Salamander St,999,M1X 1Z8,35204716
5684,65653263,-79.326336311,43.656514645,Leslie St / Commissioners St / Martin Goodman Trl,1,M4M 3H9,35204750
5691,75403045,-79.30455415,43.754049763000005,Elinor Ave / Murray Glen Dr,1,M1R 3J6,35200431
5694,68854939,-79.493981743,43.688559933,Weston Rd / Somerville Ave,1,M6M 5C4,35204448
5695,66403520,-79.35203898,43.664089089,Broadview Ave / Mountstephen St,B01,M4M 2G9,35204572
5697,69685413,-79.541392655,43.69680889,Dixington Cres / Humber Creek Trl,1,M9P 3M7,35205049
5700,64214326,-79.432618661,43.64213324399999,Brock Ave / Abbs St,003,M6K 1L7,35204660
5702,68946022,-79.602241072,43.689473433,427 N Fasken Ramp / Fasken Dr,997,L4V 1N1,35211696
5707,64885672,-79.567261639,43.648844544,Permfield Path / Donegal Path,1,M9C 5S3,35201744
5708,68435042,-79.504218431,43.68438156,Eglinton Ave W / Emmett Ave,1,M6M 2E6,35204232
5709,68072850,-79.28506810100001,43.680720079,Kingston Rd / Bingham Ave,1,M4E 1T3,35203798
